nct_id,brief_title,overall_status,lead_sponsor_class,phase,start_date,ncfb_reason
NCT06237348,Simeox Therapy at Home Versus Standard of Care in NCFB Patients With CMH,COMPLETED,INDUSTRY,NA,2023-12-01,non-cystic fibrosis bronchiectasis
NCT06242795,Hypertonic Saline in NCFB,RECRUITING,OTHER,PHASE4,2024-10-23,non-cystic fibrosis bronchiectasis
NCT06280391,"A Proof-of-Concept Study to Assess the Efficacy, Safety and Tolerability of Itepekimab (Anti-IL-33 mAb) in Participants With Non-cystic Fibrosis Bronchiectasis",COMPLETED,INDUSTRY,PHASE2,2024-02-20,non-cystic fibrosis bronchiectasis
NCT06487273,Long-term Evaluation of the SIMEOX Device at Home in Non-cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,NA,2025-02-03,non-cystic fibrosis bronchiectasis
NCT06559150,A Phase II Study of Ensifentrine in Non-Cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,PHASE2,2024-09-11,non-cystic fibrosis bronchiectasis
NCT06603246,A Study to Test the Safety and Effects of Inhaled GDC-6988 in Participants With Muco-obstructive Disease,RECRUITING,INDUSTRY,PHASE1,2024-11-18,non-cystic fibrosis bronchiectasis
NCT06660992,A Study to Assess the Efficacy and Safety of HSK31858 in Participants With Non-Cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,PHASE3,2024-09-30,non-cystic fibrosis bronchiectasis
NCT06663176,Nebulised RESP30X Nitric Oxide Formulations in NCFB Patients With Pseudomonas Aeruginosa (Pa),ACTIVE_NOT_RECRUITING,INDUSTRY,PHASE1;PHASE2,2024-10-16,non-cystic fibrosis bronchiectasis
NCT06775340,Study of RSS0343 Tablets in Patients With Non-cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,PHASE2,2025-01-22,non-cystic fibrosis bronchiectasis
NCT06981091,"A Multicenter, Randomized, Double-blind, Placebo-controlled Parallel-group Phase 2 Clinical Trial to Evaluate the Efficacy and Safety of XH-S004 Tablets in Patients With Non-cystic Fibrosis Bronchiectasis",NOT_YET_RECRUITING,INDUSTRY,PHASE2,2025-05-16,non-cystic fibrosis bronchiectasis
NCT07048262,"Dose Range Finding, Efficacy, and Safety Study of Nebulized CSL787 in Adults With Non-cystic Fibrosis Bronchiectasis (NCFB)",RECRUITING,INDUSTRY,PHASE2,2025-09-03,non-cystic fibrosis bronchiectasis
NCT07274020,Long-Term Safety and Efficacy of Moxifloxacin in Bronchiectasis Patients,NOT_YET_RECRUITING,OTHER,PHASE3,2025-12-01,non-cystic fibrosis bronchiectasis
NCT07289464,A Clinical Study of RSS0343 in Healthy Subjects,COMPLETED,INDUSTRY,PHASE1,2026-01-08,non-cystic fibrosis bronchiectasis
NCT07376187,Digital Physiotherapy for Pediatric Chronic Suppurative Lung Diseases,NOT_YET_RECRUITING,OTHER,NA,2026-05-01,non-cystic fibrosis bronchiectasis
NCT07540936,Effects of an Online Yoga Program on Exercise Capacity and Quality of Life in Bronchiectasis Patients,COMPLETED,OTHER,NA,2025-01-15,non-cystic fibrosis bronchiectasis
NCT07547436,A Study to Access Activity and Safety With SAR445399 Compared With Placebo in Participants Aged 18 to 80 Years of Age With Non-Cystic Fibrosis Bronchiectasis,SUSPENDED,INDUSTRY,PHASE2,2026-06-08,non-cystic fibrosis bronchiectasis
NCT07608328,Azithromycin to Modify Bronchiectasis Exacerbation Risk,NOT_YET_RECRUITING,OTHER,PHASE4,2026-05-21,non-cystic fibrosis bronchiectasis
NCT07616375,A Study to Assess the Safety of HSK31858 in Participants With Non-Cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,PHASE3,2025-09-28,non-cystic fibrosis bronchiectasis
NCT07696091,Study on Drug Interactions Affecting the Pharmacokinetics of RSS0343 Tablet,NOT_YET_RECRUITING,INDUSTRY,PHASE1,2026-07,non-cystic fibrosis bronchiectasis
NCT07709494,"A Phase 1a/1b Study to Investigate the Safety, Tolerability, Microbiological Response, and Pharmacokinetics of Inhaled Rev-56 in Adult Healthy Volunteers and Adult Non-cystic Fibrosis Bronchiectasis (NCFB) Patients With Chronic P. Aeruginosa",RECRUITING,INDUSTRY,PHASE1,2026-07-13,non-cystic fibrosis bronchiectasis
NCT07720375,A Study of 24 to 52 Weeks Treatment to Evaluate The Efficacy And Safety of Galvokimig in Adult Study Participants With Non-Cystic Fibrosis Bronchiectasis,RECRUITING,INDUSTRY,PHASE2,2026-08-05,non-cystic fibrosis bronchiectasis
NCT07722364,HFCWO in Children With Non-CF Bronchiectasis,NOT_YET_RECRUITING,OTHER,NA,2026-07-01,non-cystic fibrosis bronchiectasis
NCT07805174,High-Intensity Interval Exercise in Bronchiectasis Patients,RECRUITING,OTHER,NA,2026-03-27,non-cystic fibrosis phrase
