nct_id,intervention_type,intervention_name,description
NCT02084043,DRUG,Nebulization of Amikacin during NIV (RR: 15 cycles/minute),500 mg/4 mL Amikacin nebulized using vibrating mesh nebulizer associated with a single limb bilevel ventilator. The nebulizations are considered as finished when there is no visible evidence of nebulization for a period of 30 seconds. The NIV is set with an IPAP of 15 cmH2O and EPAP of 5 cmH2O. The lung model is simulated with a respiratory rate of 15 cycles/minute
NCT02084043,DRUG,Nebulization of Amikacin during NIV (RR: 25 cycles/minute),500 mg/4 mL Amikacin nebulized using vibrating mesh nebulizer associated with a single limb bilevel ventilator. The nebulizations are considered as finished when there is no visible evidence of nebulization for a period of 30 seconds. The NIV is set with an IPAP of 15 cmH2O and EPAP of 5 cmH2O. The lung model is simulated with a respiratory rate of 25 cycles/minute
NCT07632768,DRUG,Discontinuation of Pancreatic Enzyme Replacement Therapy,"Participants with cystic fibrosis who demonstrate pancreatic sufficiency, defined as fecal elastase-1 (FE-1) ≥200 µg/g after treatment with CFTR modulator therapy, will discontinue pancreatic enzyme replacement therapy (PERT) under medical supervision. Participants will undergo follow-up assessments over 6 months, including monitoring of growth, gastrointestinal symptoms, nutritional laboratory markers, and repeat fecal elastase testing to evaluate the safety and sustainability of pancreatic function recovery after PERT discontinuation."
NCT00004533,DRUG,Adeno-associated virus-CFTR vector,
NCT05147285,OTHER,stabilization exercises,Patients will be applied only online supervised stabilization exercises three times a week for 8 weeks.
NCT05147285,OTHER,combined exercises,"Patients will be applied online supervised aerobic exercise training and stabilization exercises.Aerobic exercises will be performed for 8 weeks, for 30-45 minutes, at 65-75% of the maximum heart rate, 3 days a week, on the days when stabilization exercises are not performed."
NCT05147285,OTHER,Physical activity recommendations,The importance of physical activity will be explained to the patients and appropriate physical activity recommendations will be made.
NCT00332215,DRUG,Inhaled Sodium Pyruvate,
NCT03119649,DRUG,GLPG2222 50 mg,Oral tablet(s) containing GLPG2222
NCT03119649,DRUG,GLPG2222 100 mg,Oral tablet(s) containing GLPG2222
NCT03119649,DRUG,Placebo,Matching oral tablet(s) containing placebo
NCT03119649,DRUG,GLPG2222 200 mg,Oral tablet(s) containing GLPG2222
NCT03119649,DRUG,GLPG2222 400 mg,Oral tablet(s) containing GLPG2222
NCT02036879,DRUG,Loestrin (norethindrone acetate and ethinyl estradiol),"This is an optional substudy that females participating in the main study can choose to participate in. Loestrin, an oral contraceptive or birth control pill, will be prescribed and taken daily for approximately 2 months."
NCT01153542,DRUG,VX-770,"In period 1, subjects will receive a single oral dose of desipramine on Day 1."
NCT01153542,DRUG,VX-770,"In period 2, subjects will receive 150 mg VX-770 q12h orally from the morning of Day 1 through the evening of Day 9. Subjects will receive 50 mg Desipramine as a single dose on Day 5 of period 2."
NCT00220259,DRUG,Fluticasone or placebo,
NCT05249322,OTHER,Follow-up alternating between face-to-face consultation and teleconsultation every three months.,"The intervention will be an alternate follow-up every three months with:

* A tele-consult: with paramedical consult (with assistance for home-spirometry) and medical consult for about 1h30 in total, make with a HCL platform for telemedicine.
* An usual in-hospital consult of about 1h30 with paramedical and medical consult."
NCT00812045,DRUG,AZD1236,"Oral tablet, 75 mg twice daily during 4 weeks"
NCT00812045,DRUG,Placebo,
NCT02934698,DRUG,Ivacaftor,Subjects will be treated with ivacaftor for 6 months and followed for 7 months and will undergo assessments along the way to measure sweat chloride and sputum amounts.
NCT01404234,DRUG,AZLI,AZLI 75 mg was administered 3 times daily via the investigational nebulizer.
NCT00880100,DRUG,Ultrase® MT12,"Ultrase® MT12 capsules will be given orally daily based on investigator's discretion to a maximum dose of 2,500 lipase units per kilogram (kg) body weight per meal or snack for 19 to 24 days during the treatment phase. Total maximum dose not to exceed 10,000 lipase units/kg/day."
NCT02048592,DIETARY_SUPPLEMENT,Impact-Nutridrink,IMPACT (immunonutrition) will be given in the first 8 weeks. Afterwards the patients will be returned to their previous nutrition support \|(Nutridrink) for another 8 weeks.
NCT02048592,DIETARY_SUPPLEMENT,Nutridrink-Impact,In this group of patients - the study starts with period of 8 weeks with no change of previous nutrition support (Nutridrink). After 8 weeks the laboratory results will be examined ant the patients will switch to immunonutrition (Impact) for another 8 weeks. After the laboratory examination including oxidative stress parameters will be evaluated.
NCT03748199,DRUG,POL6014,"DL1 80 mg cohorts 1A and 1B (80 mg QD and 40 mg BID) DL2 160 mg cohorts 2A and 2B (160 mg QD and 80 mg BID) DL3 40 mg QD cohort C

DL = dose Level QD= quaque die (once daily) BID= bis in die (twice daily)"
NCT03748199,DRUG,Placebo,Placebo will be administered orally at a dose and frequency matched to POL6014
NCT00004287,GENETIC,H5.001CBCFTR,
NCT05801952,DEVICE,"Aerobika* OPEP, PARI O-PEP (Flutter), PARI PEP® S System","The 4-day physiotherapy program consists of performing bronchial drainage using one of the three devices: Aerobika\* OPEP Device (Trudell Medical International), Flutter - PARI O-PEP Device (PARI Respiratory Equipment, Inc.) and PEP - PARI PEP® S System (PARI Respiratory Equipment, Inc.)."
NCT04966234,DRUG,Posaconazole 100 MG [Noxafil],"Posaconazole is a lipophilic, highly permeable triazole, which is practically insoluble in water. Posaconazole inhibits the enzyme CYP51a (also known as Erg11p or lanosterol demethylase). This enzyme is required for catalysation of an essential step in biosynthesis of ergosterol in filamentous fungi and yeasts.

Posaconazole is favoured over itraconazole and voriconazole with respect to palatability, tolerability and toxicity profile"
NCT04966234,DRUG,Posaconazole 40 MG/ML,"Posaconazole is a lipophilic, highly permeable triazole, which is practically insoluble in water. Posaconazole inhibits the enzyme CYP51a (also known as Erg11p or lanosterol demethylase). This enzyme is required for catalysation of an essential step in biosynthesis of ergosterol in filamentous fungi and yeasts.

Posaconazole is favoured over itraconazole and voriconazole with respect to palatability, tolerability and toxicity profile"
NCT01608555,DRUG,tobramycin,inhaled tobramycin 300 mg single dose OD for 28 days
NCT04537793,DRUG,ELX/TEZ/IVA,Fixed dose combination granules for oral administration.
NCT04537793,DRUG,IVA,Granules for oral administration.
NCT00034515,DRUG,denufosol tetrasodium (INS37217) Inhalation Solution,
NCT07280598,DRUG,Intravenous Bacteriophage Cocktail plus Standard IV Antibiotics,"Participants will receive a seven-day course of intravenous (IV) bacteriophage therapy in combination with standard IV antibiotics. The bacteriophage therapy consists of a pathogen-specific cocktail containing four purified, lytic bacteriophages selected based on pre-treatment sensitivity testing of the participant's bacterial isolate. Each phage cocktail targets one of the following antibiotic-resistant pathogens: Pseudomonas aeruginosa, Klebsiella spp., Stenotrophomonas maltophilia, Escherichia coli, Staphylococcus aureus, or Achromobacter xylosoxidans. Phage cocktails are administered IV twice daily at a concentration of 1x10⁹ PFU/mL, following antibiotic infusion. The first three doses are observed in clinic; remaining doses are self-administered at home via PICC line. All phages are produced under GMP conditions and screened to be lytic-only, free of known toxin, resistance, or lysogeny genes."
NCT03672058,OTHER,Fitness tracker with goal setting and text message feedback,Participants provided with a Fitbit and this will also be linked to Fitabase. The physiotherapist will discuss the participants' baseline physical activity levels and individual patient centred short and long-term goals will be set with each participant. Every week participants will be contacted via text message by their CF physiotherapist. The physiotherapist will review their online data and will provide feedback and encouragement on their progress. Goals will be reviewed for each participant.
NCT03672058,OTHER,Fitness Tracker only,"Participants will be provided with the Fitbit and educated on how to use it. This will be linked to ""Fitabase"", an online monitoring system for data collection purposes, with the consent of the participants. However no goal setting will be completed and no feedback will be provided to the participants on their physical activity levels"
NCT00004315,DRUG,ursodiol,
NCT00208078,DEVICE,pressure support ventilator,Non invasive ventilation 4h/d 5 days a week
NCT00164138,PROCEDURE,Pelvic floor training group,"pelvic floor training, electrotherapy, bladder retraining."
NCT04375514,DRUG,ARO-ENaC,single or multiple doses of ARO-ENaC by inhalation of nebulized solution
NCT04375514,DRUG,Placebo,calculated volume of normal saline to match active treatment by inhalation of nebulized solution
NCT00153634,DRUG,IV amikacin,"5-7.5 mg/kg every 8 hrs or previous dose; start at previous recent stable dose then monitor serum levels and adjust dose, if needed, per standard clinical practice at the site"
NCT00153634,DRUG,PO azithromycin,250 mg once daily
NCT00153634,DRUG,IV ceftazidime,"50 mg/kg every 8 hours, up to 2 grams every 8 hours"
NCT00153634,DRUG,PO ciprofloxacin,500 mg every 12 hours if weight \<50 kg 750 mg every 12 hours if weight ≥50 kg
NCT00153634,DRUG,IV meropenem,"40 mg/kg every 8 hours, up to 2 grams every 8 hours"
NCT00153634,DRUG,IV piperacillin-tazobactam,"100 mg/kg of piperacillin component every 6 hours, up to 3 grams every 6 hours; antibiotic combination formulated in a fixed ratio, thus dosing is described for first component only"
NCT00153634,DRUG,IV ticarcillin-clavulanate,"100 mg/kg of ticarcillin component every 6 hours, up to 3 grams every 6 hours; antibiotic combination formulated in a fixed ratio, thus dosing is described for first component only"
NCT00153634,DRUG,IV tobramycin,"2.5-3.3 mg/kg every 8 hrs or previous dose; start at previous recent stable dose then monitor serum levels and adjust dose, if needed, per standard clinical practice at the site"
NCT00231192,DRUG,Repaglinide and Insulin,
NCT02081963,DRUG,Amikacin,Nebulized 0.2g of amikacin and 2 mL of normal saline twice a day for 14 days in combination with standard treatment.
NCT02081963,DRUG,Normal saline,Nebulized 3 mL of normal saline twice a day for 14 days in combination with standard treatment.
NCT04743206,DEVICE,Standard Airway Clearance device,"Subjects will be using their home standard airway clearance device, VEST (High Frequency Chest Wall Oscillation VEST) for 2 weeks followed by PIAPD."
NCT04743206,DEVICE,Portable Internal Airway Percussion device,"Subjects will be using the investigational device, PIAPD (Portable Internal Airway Percussion Device) for 2 weeks."
NCT01309178,DRUG,Amitriptyline,"2 x 12,5 mg capsules for oral use in the first two weeks, the higher dose of 50 mg (2 x 25 mg) will be adapted after 2 weeks of treatment."
